gene_id	log2_fold_change	p_value	fdr
YML123C	-1.91717049470797	6.75411062358612e-17	1.70608834351785e-13
snR54	-1.40352898341535	6.4553925437696e-14	8.15316078278101e-11
YPL019C	-1.40050836246017	5.94037020915547e-13	5.00179171610891e-10
YJL012C	-1.33688389494965	1.66093841790821e-10	1.04888261090903e-07
YER164W	-7.55371553627632	3.63375337107124e-10	1.83577220306519e-07
YDL229W	-0.927661000628317	7.21401594826108e-10	3.03710071421791e-07
YOR375C	-1.27690673255937	7.91459170940578e-09	2.856036951137e-06
YBL098W	1.92037303844448	2.03206922760764e-08	6.41625858617112e-06
YGL009C	-0.849933295334937	3.07013271701228e-08	8.61683915908112e-06
YJR148W	1.66965560015069	4.2994703394658e-08	1.08604620774906e-05
YBR093C	-2.10424088933877	6.0106757613908e-08	1.38026972484301e-05
YJR009C	-0.602858116273818	2.94465912072438e-06	0.000619850744912481
YLR249W	-0.507448261536371	4.83022488437534e-06	0.000938549850610161
YNL134C	-0.958157697691453	8.21235659498773e-06	0.00148174376849564
YHR179W	-0.870194702786695	9.4011661593026e-06	0.00158315638122656
YGL055W	0.72860377314601	2.74073083967365e-05	0.00432692881313478
YDR481C	-1.08745407772364	3.89411220299748e-05	0.00576182619857198
YKL081W	-0.546986609226336	4.1778208645625e-05	0.00576182619857198
YGR155W	-0.592321989469349	4.33391519290846e-05	0.00576182619857198
YHR136C	-1.5382268054067	4.85719175603473e-05	0.00613463318787187
YHR047C	1.16656091275151	8.97840684518559e-05	0.0103680414043796
YJL034W	-0.60506744497321	9.02996480191412e-05	0.0103680414043796
YBL020W	-1.69258391663294	0.000138084451376349	0.0151652749642025
YEL031W	-0.674409154612695	0.00020264807526665	0.0213287099218149
YIL145C	-0.88648652757556	0.00023931294340117	0.0236255935184346
YER072W	-1.1591220504354	0.000243177130435194	0.0236255935184346
YGL135W	-0.569824918244346	0.000272289724329846	0.0248995597026294
YBR208C	-1.08296483092091	0.000276004620615053	0.0248995597026294
YGR094W	-0.505602814590387	0.000328767748664913	0.0286368045906059
YHR131C	-1.55054884420091	0.000362410685233129	0.0298251825394604
YFR006W	1.25000581759437	0.000366025597277621	0.0298251825394604
YDR380W	1.2809779542479	0.00042414340560585	0.0329526043607915
YMR243C	-0.722765712675725	0.000430497206613665	0.0329526043607915
YML056C	-0.617619782641293	0.00045276548115934	0.0329985935530289
YOR204W	-0.728095781121082	0.000457225167995253	0.0329985935530289
YLR355C	-0.469373305654909	0.000620103819608686	0.0435106180092095
YJL073W	-1.21182871609408	0.00064862618609937	0.0442818850293786
YEL040W	-0.473012306774451	0.000678771226879156	0.0451204241867566
YHR092C	1.19124554519926	0.000702902143743503	0.0455264311563099
