group	names	scores	logfoldchanges	pvals	pvals_adj
11	KCNJ3	22.63482	6.2743926	1.9686483557991088e-113	3.6027249235301593e-109
11	ARHGAP44	21.964252	5.2401137	6.328975265841128e-107	7.72156079016837e-103
11	CACNA1C	21.899488	4.988689	2.627100854999611e-106	2.403862959846019e-102
11	GRIP1	21.835869	5.2537265	1.059110115026323e-105	7.75289786401569e-102
11	ZEB2	21.771717	4.9510794	4.302019443814897e-105	2.6243035610511507e-101
11	FMN2	21.67597	4.4640803	3.458726794402908e-104	1.8084694200277263e-100
11	GRIA3	21.44873	5.6059585	4.692795578739926e-102	2.1470126372182507e-98
11	LSAMP	21.30635	4.5003753	9.912659720326822e-101	4.0312584269298e-97
11	NAV3	21.292875	5.26067	1.3216746466211592e-100	4.837461374098105e-97
11	DOCK10	21.209377	6.4956183	7.824255334909447e-100	2.603414268300188e-96
11	TNR	20.993858	9.479512	7.463426065516267e-98	2.1012989032612376e-94
11	FRMPD4	20.986835	6.5481763	8.651931053919049e-98	2.2619237750320794e-94
11	AC092691.1	20.758577	4.8496156	1.02557913045138e-95	2.5024814502433972e-92
11	FBXL7	20.563808	5.443935	5.790452184577973e-94	1.3246021275483649e-90
11	MAGI1	20.285625	3.722456	1.7225807516721023e-91	3.7087163583500365e-88
11	CNTN4	20.153252	4.5515046	2.5200664127753607e-90	5.124275042999498e-87
11	PAK5	20.129623	5.443568	4.060684700978582e-90	7.822374775816689e-87
11	RORB	20.11699	3.3644674	5.23951950584351e-90	9.588582671668917e-87
11	RYR3	20.048111	6.257846	2.0965806383973558e-89	3.654140378380077e-86
11	LHFPL6	20.039839	5.2687955	2.475637229125273e-89	4.1186726465097324e-86
11	ONECUT1	19.994776	7.9302306	6.1152427599252875e-89	9.731478272001107e-86
11	RGS7	19.892223	4.1863885	4.752135614333251e-88	7.247204817508805e-85
11	PLCB4	19.874903	4.1446705	6.711760409058365e-88	9.826285709277809e-85
11	MIR181A2HG	19.855118	3.8678758	9.952755905679066e-88	1.4010800727067674e-84
11	GPR158	19.838526	4.957834	1.3846191127990492e-87	1.8769794128725184e-84
11	SNTG2	19.79929	4.8690734	3.0191508183874787e-87	3.9465692537071467e-84
11	CACNA1A	19.761667	4.48937	6.366719524653233e-87	8.035458666270103e-84
11	FAM135A	19.61216	4.257154	1.2175259662247192e-85	1.4854222629930317e-82
11	FAM155A	19.554472	4.0877976	3.779032753631566e-85	4.461818639215127e-82
11	PDE4B	19.546907	4.472344	4.383024774880258e-85	5.0132215557935105e-82
11	SEMA5A	19.406822	6.8902955	6.757842805934645e-84	7.495266804242847e-81
11	ADCY2	19.235723	4.791358	1.8592986126992614e-82	2.001534956570755e-79
11	PTPRG	19.017597	4.106476	1.2194534380185018e-80	1.275234722426148e-77
11	ONECUT2	18.982124	7.2729907	2.3970546505721165e-80	2.4370721462663897e-77
