185	12	1.05983946004314
185	6	1.0646279800622034
185	27	1.0974352192484484
185	3	1.098179609661496
185	4	1.099120722718798
185	45	1.1086118413711774
185	25	1.1088606823795477
185	1	1.1090440267453905
185	9	1.1150810072259125
185	18	1.115871136505164
185	24	1.117291108227276
185	22	1.1182112881349318
185	10	1.123807846962438
185	47	1.124428049198127
185	41	1.12655744599224
185	5	1.1267984648352396
185	11	1.1290618836365394
185	20	1.131857546772566
185	14	1.1401292900406452
185	13	1.1430683458224116
185	15	1.1470993511956615
185	2	1.1471574431589469
185	16	1.1498635972256823
185	54	1.155876628996729
185	51	1.1568482606274983
185	8	1.1575514296382816
185	26	1.1584967898048482
185	37	1.1592476424602607
185	7	1.1594919066241205
185	21	1.1603710174363224
185	43	1.161146190634125
185	28	1.1659728318270781
185	48	1.168328297434977
185	32	1.1705515875534453
185	23	1.1709069061418929
185	50	1.1726441750933845
185	46	1.1740786111980444
185	19	1.1761182144125832
185	31	1.179060561019913
185	36	1.187411343117521
185	17	1.1878445717638413
185	42	1.1919894553341754
185	55	1.1974558093053582
185	49	1.2040765015757544
185	44	1.2074958231797832
185	30	1.2111476156092977
185	38	1.2149760195993187
185	39	1.2235409461927442
185	40	1.2325032836901966
185	52	1.2431177411376488
185	29	1.245193270163112
185	35	1.2728163148098974
185	53	1.2911932726215212
185	95	1.4232581724459026
185	33	1.4317440956687184
185	34	1.446825813080507
185	92	1.454719518355018
185	87	1.454777572162777
185	176	1.4782923501913101
185	174	1.497607135439587
185	160	1.5006276938127514
185	125	1.5015097173981151
185	156	1.502393587347103
185	98	1.5052004964617267
185	58	1.5067948817765033
185	67	1.5124236012993868
185	111	1.51554505735206
185	83	1.5183021051737846
185	77	1.522770087551633
185	112	1.5266873414493651
185	62	1.5293662604246512
185	89	1.5308508256039324
185	97	1.5308861661378275
185	63	1.5310864879700263
185	172	1.5317504370001476
185	73	1.533516006173445
185	86	1.5335383676906873
185	84	1.5370261215215235
185	114	1.5378982566609454
185	145	1.54092410975636
185	140	1.5414942356927757
185	57	1.5416068701119694
185	104	1.5451363810837109
185	141	1.5466467204862977
185	80	1.5481588099430272
185	70	1.5512270460245676
185	85	1.5516065329136581
185	106	1.5517737150515651
185	146	1.5521177013436063
185	69	1.5541965867563143
185	56	1.5558858673440041
185	60	1.558028749430472
185	105	1.5606717947286906
185	66	1.5648381683097041
185	65	1.566324988894627
185	61	1.570640705181251
185	115	1.57131996189521
185	110	1.5726518318970903
185	82	1.575963274362485
185	68	1.5761355898644158
185	153	1.5775724407558207
185	79	1.5784067997786075
185	165	1.5809255669567397
185	155	1.5881724582297412
185	113	1.588309784718647
185	150	1.5885965999643816
185	101	1.5888376567801208
185	144	1.5915697850785868
185	99	1.5919221754217823
185	91	1.5920113849785844
185	93	1.593123774722644
185	102	1.5935006858797243
185	100	1.593513820650578
185	88	1.597042312512086
185	142	1.5977101001553224
185	143	1.5990203229059818
185	90	1.6034099317575659
185	71	1.603445209027163
185	76	1.6035899846293684
185	64	1.604728655234417
185	170	1.604778021070905
185	162	1.606600509528691
185	72	1.6078030427513208
185	166	1.6079596111044552
185	116	1.6091521549017191
185	173	1.6096858187776362
185	152	1.612031391002712
185	124	1.6120799200386176
185	163	1.6151300584035961
185	94	1.61574146965997
185	120	1.6159785879088413
185	96	1.6186620826659066
185	161	1.6189870766230738
185	164	1.6192160962516662
185	136	1.6207788570073691
185	132	1.6220515824089186
185	171	1.6222523728735443
185	154	1.6246063490249507
185	121	1.625164162844257
185	123	1.6258749780461934
185	75	1.6287664707327867
185	74	1.6295292314131806
185	103	1.6297481368936113
185	151	1.6342272385674064
185	133	1.6361189448171611
185	131	1.647121432048682
185	134	1.6475552915591454
185	126	1.6477525836751208
185	78	1.6503274611515275
185	122	1.650992631297055
185	81	1.6516311138673037
185	130	1.6604191211512558
185	135	1.6664388196353965
185	175	1.6666778451912112
